year,Transportation,Electricity/Heat2,Manufacturing/Construction,Agriculture,Industrial Processes,Building,Fugitive Emissions,Waste,Land-Use Change and Forestry,Bunker Fuels,Other Fuel Combustion
1990,4733.71,8653.37,3978.52,4976.48,1001.27,3157.37,2367.04,1364.4,2024.71,637.89,770.13
1991,4772.1,8796.23,3900,4961.6,1004.16,3186.93,2391.9,1395.18,2024.71,645.74,770.86
1992,4880.23,8953.47,3770.69,4945.25,1019.75,3078.98,2337.65,1418.28,2024.71,683.46,686.4
1993,4923.23,9003.81,3719.1,4913.93,1037.06,3148.18,2352.97,1444.39,2025.14,675.74,698.66
1994,5021.55,9105.35,3732.51,4957.55,1145.75,3063.17,2352.61,1470.96,2024.81,702.06,668.8
1995,5159.12,9296.41,3956.48,5011.93,1218.19,3142.48,2430.74,1476.51,2030.42,728.44,620.1
1996,5369.33,9662.55,3838.82,5043.58,1270.33,3207.43,2494.28,1478.31,1827.03,749.1,547.31
1997,5447.53,9937.03,3862.91,4971.58,1319.09,3190.05,2510.45,1474.36,2796.53,774.87,595.85
1998,5574.08,10163.84,3861,5026.74,1323.6,3036.5,2494.16,1466.28,2126.31,799.44,572.35
1999,5738.55,10226.32,3703.74,5083.54,1331.51,3109.82,2466.99,1464.47,1935.22,841.45,581.52
2000,5921.01,10628.24,3859.55,5079.25,1390,3090.95,2584.57,1466.76,1786.59,866.67,523.51
2001,5951.44,10886.64,3881.54,5085.88,1415.41,3107.46,2609.36,1452.91,1486.7,834.05,535.71
2002,6107.43,11072.27,3893.32,5146.03,1467.76,3108.86,2584.51,1447.97,2002.64,872.96,537.54
2003,6235.61,11691.14,4085.93,5142.2,1561.64,3195.66,2739.23,1443.66,1699.88,878.84,557.02
2004,6524.11,12076.46,4514.42,5250.5,1642.98,3236.04,2819.68,1431.88,2068.3,965.15,592.07
2005,6668.92,12451.38,4935.81,5287.64,1744.77,3235.09,2936.36,1422.66,1789.26,1010.98,617.51
2006,6824.66,12955.18,5171.55,5348.52,1869.44,3205.06,2958.15,1433.85,2149.39,1063.98,627.42
2007,7038.06,13518.63,5452,5427.33,1998.46,3191.22,2992.02,1441.86,1626.23,1115.46,629.54
2008,7044.04,13545.46,5559.44,5434.08,2039.44,3249.61,3013.28,1446.93,1570.49,1123.76,650.74
2009,6903.1,13330.54,5548.93,5433.62,2087.23,3193.7,2947.59,1454.29,1961.98,1069.26,611.5
2010,7197.42,14236.95,6110.09,5493.37,2225.68,3244.86,3039.69,1465.13,1649.4,1141.87,624.47
2011,7314.2,14857.74,6339.47,5625.41,2375.86,3183.93,3114.76,1467.31,558.86,1156.32,619.86
2012,7374.23,15154.39,6363.01,5646.84,2456.5,3116.73,3123.39,1476.63,591.16,1112.92,631.07
2013,7565.04,15449.07,6365.14,5590.12,2576.16,3224.29,3118.22,1484.04,538.69,1118.9,643.46
2014,7691.06,15393.11,6433.66,5643.37,2689.22,3171.21,3136.9,1514.26,885.86,1154.68,638.83
2015,7929.36,15126.68,6316.92,5664.03,2689.34,3193.96,3104.56,1543.59,920.42,1207.98,637.59
2016,8085.15,15134.08,6159.11,5702.42,2783.29,3219.43,3040.27,1560.85,1404.18,1252.13,636.33
2017,8281.72,15480.49,6080.37,5786.64,2854.04,3288.77,3054.15,1583.86,1359.61,1309.14,641.73
2018,8478.33,15901.34,6207.16,5764.88,2947.46,3318.54,3121.19,1606.86,1522.03,1338.15,625.86
2019,8497.7,15843.06,6248.09,5755.54,3062.1,3273.45,3160.24,1629.87,1796.97,1330.24,600.63
2020,7283,15323.08,6202.69,5864.09,3120.53,3222.24,2913.17,1652.87,1396.85,940.33,588.09
2021,7853.2,16447.75,6349.21,5907.3,3230.07,3262.8,2996.93,1677.36,1344.57,993.11,587.76
2022,8151.42,16688.42,6303.94,5905.6,3208.24,3200.94,3060.79,1701.84,1298.76,1141.44,603.03
